player_id,footballer_id,footballer_name,Total played,Started,Minutes per game,Total minutes played,Team of the week,Goals conceded per game,Penalties saved,Saves per game,Succ. runs out per game,Goals conceded,Conceded from inside box,Conceded from outside box,Saves made,Goals prevented,Saves from inside box,Saves from outside box,Saves caught,Saves parried,Goals,Scoring frequency,Goals per game,Shots per game,Shots on target per game,Big chances missed,Goal conversion,Penalty goals,Penalty conversion,Free kick goals,Free kick conversion,Goals from inside the box,Goals from outside the box,Headed goals,Left foot goals,Right foot goals,Penalty won,Assists,Expected Assists (xA),Touches per game,Big chances created,Key passes per game,Accurate per game,Acc. own half,Acc. opposition half,Acc. long balls,Acc. chipped passes,Acc. crosses,Clean sheets,Interceptions per game,Tackles per game,Possession won (final third),Balls recovered per game,Dribbled past per game,Clearances per game,Errors leading to shot,Errors leading to goal,Penalties committed,Succ. dribbles,Total duels won,Ground duels won,Aerial duels won,Possession lost,Fouls,Was fouled,Offsides,Goal kicks per game,Yellow,Yellow-Red,Red cards,Average Sofascore Rating
451,451,Burak Bozan,12,11,83,996,0,1.1,0/1,3.3 (75%),0.6 (88%),13,10,3,40,2.52,24,12,0,9,0,0min,0,0,0,0,0%,0,0%,0,0%,0,0,0,0,0,0,0,0.01,35.6,0,0,12.2 (52%),8.5 (80%),3.7 (28%),5.3 (32%),1.1 (68%),0.0 (0%),3,0,0.2,0,9.1,0,1.2,1,2,0,0.0 (0%),0.9 (92%),0.4 (100%),0.5 (86%),11.5,0,0.4,0,6.8,2,0,0,7.05
452,452,Halil Bağcı,12,12,90,1080,0,0.9,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,453,Bruno Viana,21,21,88,1853,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.3,0,1,0%,0,0%,0,0%,0/5,0/1,0,0,0,0,1,0.42,53.1,2,0.2,33.2 (82%),24.7 (91%),8.6 (65%),2.7 (42%),1.4 (52%),0.0 (0%),4,1.6,1,0,3.1,0.4,5.1,1,0,1,0.0 (0%),3.1 (47%),1.4 (46%),1.7 (48%),7.9,1.1,0.4,0,0,5,1,2,6.81
454,454,Arda Kızıldağ,20,17,76,1517,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,759min,0.1,0.7,0.3,1,14%,0,0%,0,0%,Feb-13,0/1,2,0,0,0,0,0.11,45.1,0,0.2,26.5 (82%),20.1 (91%),6.5 (62%),1.7 (37%),0.7 (48%),0.0 (0%),6,1.2,0.9,0,2,0.2,5.6,1,0,0,0.1 (67%),4.4 (67%),1.8 (72%),2.6 (65%),6.5,0.5,0.9,0,0,4,0,0,7
455,455,Ertuğrul Ersoy,16,12,57,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,912min,0.1,0.3,0.2,1,25%,0,0%,0,0%,01-Apr,0,1,0,0,0,0,0.48,34.6,1,0.3,19.3 (82%),13.6 (90%),5.8 (68%),1.2 (36%),1.0 (46%),0.0 (0%),3,0.9,1.6,0,1.9,0.8,2.7,0,0,0,0.2 (75%),3.5 (56%),2.1 (56%),1.4 (56%),5,0.8,0.4,0,0,4,0,0,6.8
456,456,Enric Saborit,10,8,80,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,795min,0.1,0.9,0.2,3,11%,0,0%,0,0%,01-Aug,0/1,1,0,0,0,0,0.39,55.4,0,0.1,32.6 (80%),20.3 (89%),12.4 (68%),2.9 (43%),1.4 (42%),0.1 (50%),1,1.1,1.1,0.1,3.6,0.6,5.2,1,0,0,0.1 (50%),4.0 (65%),2.3 (62%),1.7 (68%),10,0.6,1.1,0.1,0,3,0,0,6.93
457,457,Godfrey Stephen,2,1,58,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0,0,0,0%,0,0%,0,0%,0,0,0,0,0,0,0,0.03,30,0,0,10.5 (68%),5.0 (67%),5.5 (52%),0.5 (33%),0.5 (100%),0.0 (0%),0,0.5,1.5,0,5,0,1,0,0,0,0.0 (0%),2.0 (44%),1.5 (43%),0.5 (50%),9.5,0.5,0,0,0,0,0,0,6.6
458,458,Emre Taşdemir,10,5,49,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,490min,0.1,0.4,0.2,1,25%,0,0%,0,0%,01-Mar,0/1,0,1,0,0,1,0.41,28.9,2,0.7,11.4 (70%),6.3 (82%),5.5 (52%),1.2 (40%),1.1 (42%),0.4 (20%),0,0.6,0.8,0.1,2.1,0.4,1.6,0,0,0,0.2 (50%),2.0 (49%),1.6 (50%),0.4 (44%),7.6,0.8,0.8,0.4,0,1,0,0,6.81
459,459,Salem M'Bakata,15,9,60,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.3,0,0,0%,0,0%,0,0%,0/2,0/2,0,0,0,0,0,0.11,32.9,0,0.1,13.7 (77%),7.8 (83%),6.0 (65%),0.5 (30%),0.3 (67%),0.1 (9%),5,0.5,1.1,0.1,2.9,0.2,1.7,1,0,0,0.3 (45%),2.9 (59%),1.9 (58%),1.0 (60%),8.5,0.2,0.5,0.1,0,0,0,0,6.7
460,460,Ömürcan Artan,8,5,64,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.1,0.1,0,0%,0,0%,0,0%,0,0/1,0,0,0,0,0,0.28,35.5,1,0.6,14.3 (75%),9.1 (78%),5.5 (61%),1.0 (42%),0.9 (47%),0.4 (25%),1,1.1,1.8,0,2.9,1,1.6,0,0,0,0.3 (50%),3.1 (51%),2.3 (50%),0.9 (54%),9.3,0.6,0.4,0,0,1,0,0,6.66
